iter	Passed	Remaining
720	4393	1700
721	4396	1692
722	4399	1685
723	4405	1679
724	4409	1672
725	4413	1665
726	4415	1658
727	4418	1650
728	4421	1643
729	4423	1636
730	4426	1628
731	4428	1621
732	4431	1614
733	4433	1606
734	4436	1599
735	4439	1592
736	4442	1585
737	4444	1577
738	4447	1570
739	4449	1563
740	4452	1556
741	4455	1549
742	4457	1541
743	4460	1534
744	4463	1527
745	4466	1520
746	4468	1513
747	4471	1506
748	4473	1499
749	4476	1492
750	4479	1485
751	4482	1478
752	4485	1471
753	4487	1464
754	4490	1457
755	4492	1450
756	4495	1442
757	4498	1436
758	4501	1429
759	4504	1422
760	4506	1415
761	4509	1408
762	4511	1401
763	4514	1394
764	4517	1387
765	4522	1381
766	4524	1374
767	4527	1367
768	4529	1360
769	4532	1353
770	4535	1347
771	4537	1340
772	4540	1333
773	4543	1326
774	4545	1319
775	4548	1312
776	4551	1306
777	4555	1299
778	4558	1293
779	4561	1286
780	4563	1279
781	4566	1272
782	4568	1266
783	4571	1259
784	4573	1252
785	4576	1246
786	4579	1239
787	4581	1232
788	4584	1225
789	4586	1219
790	4589	1212
791	4591	1205
792	4594	1199
793	4597	1192
794	4599	1186
795	4602	1179
796	4604	1172
797	4607	1166
798	4609	1159
799	4612	1153
800	4614	1146
801	4621	1140
802	4623	1134
803	4626	1127
804	4629	1121
805	4631	1114
806	4634	1108
807	4636	1101
808	4639	1095
809	4641	1088
810	4644	1082
811	4646	1075
812	4649	1069
813	4652	1062
814	4654	1056
815	4657	1050
816	4659	1043
817	4662	1037
818	4666	1031
819	4672	1025
820	4676	1019
821	4678	1013
822	4681	1006
823	4683	1000
824	4687	994
825	4689	987
826	4691	981
827	4694	975
828	4696	968
829	4699	962
830	4701	956
831	4704	949
832	4706	943
833	4709	937
834	4712	931
835	4714	924
836	4717	918
837	4719	912
838	4722	906
839	4725	900
840	4727	893
841	4730	887
842	4732	881
843	4735	875
844	4738	869
845	4741	863
846	4744	856
847	4746	850
848	4750	844
849	4752	838
850	4755	832
851	4757	826
852	4760	820
853	4762	814
854	4765	808
855	4767	802
856	4770	796
857	4773	789
858	4775	783
859	4778	777
860	4781	771
861	4785	766
862	4787	760
863	4790	754
864	4793	748
865	4795	742
866	4798	736
867	4800	730
868	4803	724
869	4805	718
870	4808	712
871	4810	706
872	4813	700
873	4816	694
874	4819	688
875	4822	682
876	4824	676
877	4827	670
878	4830	664
879	4832	658
880	4835	653
881	4838	647
882	4841	641
883	4845	635
884	4849	630
885	4852	624
886	4856	618
887	4859	612
888	4862	607
889	4866	601
890	4869	595
891	4873	590
892	4876	584
893	4879	578
894	4882	572
895	4884	566
896	4887	561
897	4890	555
898	4892	549
899	4895	543
900	4898	538
901	4901	532
902	4903	526
903	4906	520
904	4908	515
905	4911	509
906	4914	503
907	4916	498
908	4919	492
909	4921	486
910	4924	481
911	4927	475
912	4929	469
913	4932	464
